page,sentence,head,tail,reldescription,time,inferredtime,type,sourceintext,sourceinfootnote,sourcedate,comments
9,"First, a Russian entity carried out a social media Campaign that favored presidential candidate Donald J. Trump and disparaged presidential candidate Clinton. ",a Russian entity,Clinton,media Campaign disparagment ,,2016,negative,,,,
9,"Second, a Russian intelligence service conducted computer-intrusion operations against entities, employees, and volunteers working on the Clinton Campaign and then released stolen documents. ",a Russian intelligence service,Clinton Campaign,computer intrusion,,2016,negative,,,,
9,The investigation also identified numerous links between the Russian government and the Trump Campaign. ,Russian government,Trump Campaign,link,,2016,positive,,,,
9,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities. ",Russian government,Trump presidency,benefit,,2016,positive,,,,
9,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities. ",Trump Campaign,Russian government,(no) coordination,,2016,neutral,,,,
10,"In connection with that analysis, we addressed the factual question whether members of the Trump Campaign ""coordinat[ ed]""-a term that appears in  the  appointment order-with Russian election interference  activities.  ",Trump Campaign,Russian election interference  activities,coordination,,2016,neutral,,,,
10,We understood coordination to require an agreement-tacit or express- between the Trump Campaign and the Russian government on election interference.  ,Russian government,Trump Campaign,coordination,,2016,neutral,,,,
10,We applied the term coordination in that sense when stating in the report that the investigation did not establish that the Trump Campaign coordinated with the Russian government in its election interference activities.,Trump Campaign,Russian government,(no) coordination,,2016,neutral,,,,
10,Volume I describes the factual results of the Special Counsel's investigation of Russia's interference in the 2016 presidential election and its interactions with the Trump Campaign. ,Special Counsel,Russia,investigation,,,neutral,,,,
10,Volume I describes the factual results of the Special Counsel's investigation of Russia's interference in the 2016 presidential election and its interactions with the Trump Campaign. ,Russia,Trump Campaign,interaction,,2016,neutral,,,,
11,"Volume II addresses the President's actions towards the FBI's investigation into Russia' s interference in the 2016 presidential election and related matters, and his actions towards the Special Counsel' s investigation. ",the President,FBI,action,,,neutral,,,,
11,"Volume II addresses the President's actions towards the FBI's investigation into Russia' s interference in the 2016 presidential election and related matters, and his actions towards the Special Counsel' s investigation. ",the President,Special Counsel,action,,,neutral,,,,
12,The Internet Research Agency (IRA)  carried out the  earliest Russian interference operations identified by the investigation- a social media Campaign designed to provoke and amplify political and social discord in the United States.,IRA,the United States,interference,,,negative,,,,
12,"The IRA was based in St. Petersburg, Russia, and received funding from Russian oligarch Yevgeniy Prigozhin and companies he controlled. ",Yevgeniy Prigozhin,IRA,funding,,,positive,,,,
12,Prigozhin is widely reported to have ties to Russian President Putin,Prigozhin,Putin,association,,,neutral,,,,
12,"In mid-2014, the IRA sent employees to the United States on an intelligence-gathering mission with instruciton.",IRA,the United States,intelligence-gathering,2014,,negative,,,,
12,"The IRA later used social media accounts and interest groups to sow discord in the U.S. political system through what it termed ""information warfare."" ",IRA,U.S. political system,information warfare,,,negative,,,,
12,"The Campaign evolved from a generalized program designed in 2014 and 2015 to  undermine the U.S. electoral system, to a targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton. ",The Campaign,U.S. electoral system,undermining,2014-2015,,negative,,,,
12,"The Campaign evolved from a generalized program designed in 2014 and 2015 to  undermine the U.S. electoral system, to a targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton. ",The Campaign,Trump,favoring,2016,,positive,,,,
12,"The Campaign evolved from a generalized program designed in 2014 and 2015 to  undermine the U.S. electoral system, to a targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton. ",The Campaign,Clinton,disparaging ,2016,,negative,,,,
12,"The IRA' s operation also included the purchase of political advertisements on social media in the names of U.S. persons and entities, as well as the staging of political rallies inside the United States. ",IRA,the United States,operation,,,negative,,,,
12,"To organize those rallies, IRA employees posed as U.S. grassroots entities and persons and made contact with Trump supporters and Trump Campaign officials in the United States. ",IRA,Trump supporters,contact,,,neutral,,,,
12,"To organize those rallies, IRA employees posed as U.S. grassroots entities and persons and made contact with Trump supporters and Trump Campaign officials in the United States. ",IRA,Trump Campaign,contact,,,neutral,,,,
12,"At the same time that the IRA operation began to focus on supporting candidate Trump in early 2016, the Russian government employed a second form of interference:  cyber intrusions (hacking) and releases of hacked materials damaging to the Clinton Campaign. ",IRA,Trump,support,2016,,positive,,,,
12,"At the same time that the IRA operation began to focus on supporting candidate Trump in early 2016, the Russian government employed a second form of interference:  cyber intrusions (hacking) and releases of hacked materials damaging to the Clinton Campaign. ",IRA,Clinton Campaign,hacking,2016,,negative,,,,
12,"In March 2016, the  GRU began hacking the  email accounts of Clinton Campaign volunteers and employees, including Campaign chairman John Podesta. ",GRU,Clinton Campaign,hacking,16-Mar,,negative,,,,
12,"In March 2016, the  GRU began hacking the  email accounts of Clinton Campaign volunteers and employees, including Campaign chairman John Podesta. ",GRU,John Podesta,hacking,16-Mar,,negative,,,,
12,"In March 2016, the  GRU began hacking the  email accounts of Clinton Campaign volunteers and employees, including Campaign chairman John Podesta. ",John Podesta,Clinton Campaign,employment,,,is part of,,,,
12,"In April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC). ",GRU,DCCC,hacking,16-Apr,,negative,,,,
12,"In April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC). ",GRU,DNC,hacking,16-Apr,,negative,,,,
12,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""",DNC,Russian government,hacking accusation,16-Jun,,negative,,,,
12,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""",DCLeaks,GRU,online persona,16-Jun,,is part of,,,,
12,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""",Guccifer 2.0,GRU,online persona,16-Jun,,is part of,,,,
12,The GRU later released additional materials through the organization WikiLeaks. ,GRU,WikiLeaks,information release,,2016,neutral,,,,
13,"The presidential Campaign of Donald J. Trump (""Trump Campaign"" or ""Campaign"") showed interest in WikiLeaks' s releases of documents and welcomed their  potential to damage candidate Clinton.  ",Trump Campaign,WikiLeaks,interest,,2016,positive,,,,
13,"The presidential Campaign of Donald J. Trump (""Trump Campaign"" or ""Campaign"") showed interest in WikiLeaks' s releases of documents and welcomed their  potential to damage candidate Clinton.  ",WikiLeaks,Clinton,damage,,2016,negative,,,,
13,"Beginning in June 2016,  [Harm to Ongoing Matter] forecast to senior Campaign officials that WikiLeaks would release information damaging to candidate Clinton. ",WikiLeaks,Clinton,damage,16-Jun,,negative,,,,
13,"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by  Clinton when she was Secretary  of State (he later said that he was speaking  sarcastically).",Trump,Russia,expectation,16-Jul,,positive,,,,
13,"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by  Clinton when she was Secretary  of State (he later said that he was speaking  sarcastically).",Russia,Clinton,recover of missing emails,,,negative,,,,
13,"WikiLeaks began releasing Podesta' s stolen emails on October 7, 2016, less than one hour after a U.S. media outlet released video considered damaging to candidate Trump. ",WikiLeaks,Podesta,email release,7/10/16,,negative,,,,
13,"WikiLeaks began releasing Podesta' s stolen emails on October 7, 2016, less than one hour after a U.S. media outlet released video considered damaging to candidate Trump. ",U.S. media,Trump,video release,7/10/16,,negative,,,,
13,"Section lII of this Report details the Office's investigation into the Russian hacking operations, as well as other efforts by Trump Campaign supporters to obtain Clinton-related emails.",Trump Campaign,Clinton,email obtainment ,,,neutral,,,,
13,The social media Campaign and the GRU hacking operations coincided with a series of contacts between Trump Campaign officials and individuals with ties to the Russian government. ,Trump Campaign,Russian government,contact,,,neutral,,,,
13,The Office investigated whether those contacts reflected or resulted in the Campaign conspiring or coordinating with Russia in its election-interference activities.  ,Campaign,Russia,coordination,,2016,neutral,,,,
13,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities. ",Russian government,Trump,benefit,,,positive,,,,
13,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities. ",Trump Campaign,Russian government,benefit,,,positve,,,,
13,"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities. ",Trump Campaign,Russian government,(no) coordination,,,neutral,,,,
13,"The Russian contacts consisted of business connections, offers of assistance to  the Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.  ",Russian contacts,the Campaign,assistance,,,positive,,,,
13,"The Russian contacts consisted of business connections, offers of assistance to  the Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.  ",Trump,Putin,meeting,,,positive,,,,
13,"The Russian contacts consisted of business connections, offers of assistance to  the Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.  ",the Campaign,Russian government,meeting ,,,positive,,,,
13,"Section IV of this Report details the contacts between Russia and the Trump Campaign during the Campaign and transition periods, the most salient of which are summarized below in chronological order. 
",Russia,Trump Campaign,contact,,,positive,,,,
13,2015. Some of the earliest contacts were made in connection with a Trump Organization real-estate project in Russia known as Trump Tower Moscow. ,Trump Tower Moscow,Trump Organization,real-estate project,2015,,in part of ,,,,
13,"Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov. ",Trump,Trump Tower Moscow,letter of intent signing,15-Nov,,in part of ,,,,
13,"Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov. ",Michael Cohen,Trump Organization,executive,,,in part of ,,,,
13,"Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov. ",Michael Cohen,Dmitry Peskov,correspondence,16-Jan,,neutral,,,,
13,"The Trump Organization pursued the project through at least June 2016, including by considering travel to Russia by Cohen and candidate Trump.",Trump,Trump Organization,business travel,16-Jun,,in part of ,,,,
13,"The Trump Organization pursued the project through at least June 2016, including by considering travel to Russia by Cohen and candidate Trump.",Cohen,Trump Organization,business travel,16-Jun,,in part of ,,,,
13,"Spring 2016. Campaign foreign policy advisor Papadopoulos made early contact with Mifsud, a London-based professor who had connections to Russia and traveled to Moscow in April 2016.  ",Papadopoulos,Mifsud,contact,16-Apr,,neutral,,,,
13,"Spring 2016. Campaign foreign policy advisor Papadopoulos made early contact with Mifsud, a London-based professor who had connections to Russia and traveled to Moscow in April 2016.  ",Mifsud,Russia,connection,,,neutral,,,,
13,"Immediately upon his return to  London from that trip, Mifsud told Papadopoulos that the Russian government had ""dirt"" on Clinton in the form of thousands of emails.",Mifsud,Papadopoulos,information,16-Apr,,neutral,,,,
13,"Immediately upon his return to  London from that trip, Mifsud told Papadopoulos that the Russian government had ""dirt"" on Clinton in the form of thousands of emails.",Russian government,Clinton,email obtainment ,,,negative,Mifsud,,,
14,"One week later, in  the first week of May 2016,  Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to candidate Clinton. ",Papadopoulos,a foreign government,suggestion,16-May,,neutral,,,,
14,"One week later, in  the first week of May 2016,  Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to candidate Clinton. ",Russian government,Trump Campaign,assistance,16-May,,positive,Papadopoulos,,,
14,"One week later, in  the first week of May 2016,  Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to candidate Clinton. ",Russian government,Clinton,damage,16-May,,negative,Papadopoulos,,,
14,"Throughout that period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. ",Papadopoulos,Mifsud,work,2016,,neutral,,,,
14,"Throughout that period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. ",Papadopoulos,two Russian nationals,work,2016,,neutral,,,,
14,"Throughout that period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. ",Mifsud,two Russian nationals,work,2016,,neutral,,,,
14,"Throughout that period of time and for several months thereafter, Papadopoulos worked with Mifsud and two Russian nationals to arrange a meeting between the Campaign and the Russian government. ",Campaign,Russian government,meeting,2016,,neutral,,,,
14,"Summer 2016. Russian outreach to the Trump Campaign continued into the summer of 2016, as candidate Trump was becoming the presumptive Republican nominee for President. ",Russian,Trump Campaign,contact,2016,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",a Russian lawyer,Trump Jr.,meeting ,9/6/16,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",a Russian lawyer,Kushner,meeting ,9/6/16,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",a Russian lawyer,Manafort,meeting ,9/6/16,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",Trump Jr.,Kushner,meeting ,9/6/16,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",Trump Jr.,Manafort,meeting ,9/6/16,,neutral,,,,
14,"On June 9, 2016, for example, a Russian lawyer met with senior Trump Campaign officials Trump Jr., Kushner, and Campaign chairman Manafort to deliver what the email proposing the  meeting had described as ""official documents and information  that  would incriminate Hillary.""  ",Kushner,Manafort,meeting ,9/6/16,,neutral,,,,
14,"The materials were offered to Trump Jr. as ""part of Russia and its government's support for Mr. Trump.""  ",Russia,Trump Jr.,offer,9/6/16,,positive,,,,
14,"The materials were offered to Trump Jr. as ""part of Russia and its government's support for Mr. Trump.""  ",Russia,Trump,support,9/6/16,,positive,,,,
14,"The written communications setting up the meeting showed that the Campaign anticipated receiving information from Russia that could assist candidate Trump's electoral prospects, but the Russian lawyer's presentation did not provide such information. ",Russia,the Campaign,information,9/6/16,,positive,,,,
14,"The written communications setting up the meeting showed that the Campaign anticipated receiving information from Russia that could assist candidate Trump's electoral prospects, but the Russian lawyer's presentation did not provide such information. ",Russia,Trump,assistance,9/6/16,,positive,,,,
14,"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents. ",Russian government hackers,DNC,hacking,14/6/2016,,negative,DNC,,,
14,"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents. ",DNC,Trump,research,14/6/2016,,neutral,DNC,,,
14,"In July 2016, Campaign foreign policy advisor Page traveled in his personal capacity to Moscow and gave the keynote address at the New Economic School. ",Page,New Economic School,keynote speech delivery,16-Jul,,neutral,,,,
14,"After returning to the United States, Page became acquainted with at least two Russian intelligence officers, one of whom was later charged in 2015 with conspiracy to act as an unregistered agent of Russia. ",Page,two Russian intelligence officers,acquaintance,,,neutral,,,,
14,"The Campaign then distanced itself from Page and, by late September 2016, removed him from the Campaign. ",Campaign,Page,distance,16-Jul,,negative,,,,
14,"The Campaign then distanced itself from Page and, by late September 2016, removed him from the Campaign. ",Campaign,Page,removal,16-Sep,,negative,,,,
14,July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the DNC. ,GRU,DNC,email theft,,2016,negative,,,,
14,July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the DNC. ,WikiLeaks,DNC,email release,16-Jul,,negative,,,,
14,"On July 22, 2016, WikiLeaks posted thousands of internal DNC documents revealing information about the Clinton Campaign.  ",WikiLeaks,DNC,email release,22/7/2016,,negative,,,,
14,"On July 22, 2016, WikiLeaks posted thousands of internal DNC documents revealing information about the Clinton Campaign.  ",WikiLeaks,Clinton Campaign,information reveal,22/7/2016,,negative,,,,
14,"Within days, there was public reporting that U.S. intelligence agencies had ""high confidence"" that the Russian government was behind the theft of emails and documents from the DNC. ",Russian government,DNC,email theft,,16-Jul,negative,U.S. intelligence agencies,,,
14,"And within a week of the release, a foreign government informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the Russian government could assist the Trump Campaign. ",a foreign government,FBI,information,,16-Jul,neutral,,,,
14,"And within a week of the release, a foreign government informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the Russian government could assist the Trump Campaign. ",a foreign government,Papadopoulos,interaction,16-May,,neutral,,,,
14,"And within a week of the release, a foreign government informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the Russian government could assist the Trump Campaign. ",Russian government,Trump Campaign,assistance,,5-Jul,positive,Papadopoulos,,,
14,"On July 31, 2016, based on the foreign government rep01ting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign. ",FBI,Trump Campaign,investigation,31/7/2016,,neutral,,,,
14,"On July 31, 2016, based on the foreign government rep01ting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign. ",Russian government,Trump Campaign,coordination,,,positive,,,,
14,"Separately, on August 2, 2016, Trump Campaign chairman Manafort met in New York City with his long-time business associate Kilimnik, who the FBI assesses to have ties to Russian intelligence.  ",Manafort,Kilimnik,meeting,2/8/16,,neutral,,,,
14,"Separately, on August 2, 2016, Trump Campaign chairman Manafort met in New York City with his long-time business associate Kilimnik, who the FBI assesses to have ties to Russian intelligence.  ",Kilimnik,Russian intelligence,tie,,,neutral,FBI,,,
14,"Kilimnik requested the meeting to deliver in person a peace plan for Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for Russia to control part of eastern Ukraine; both men believed the plan would require candidate Trump's assent to succeed (were he to be elected President). ",Kilimnik,Manafort,meeting,2/8/16,,neutral,,,,
14,"Kilimnik requested the meeting to deliver in person a peace plan for Ukraine that Manafort acknowledged to the Special Counsel's Office was a ""backdoor"" way for Russia to control part of eastern Ukraine; both men believed the plan would require candidate Trump's assent to succeed (were he to be elected President). ",Manafort,Special Counsel's Office,acknowledgement of plan,,,neutral,,,,
14,They also discussed the status of the Trump Campaign and Manafort's strategy for winning Democratic votes in Midwestern states.,Manafort,Trump Campaign,status discussion,2/8/16,,neutral,,,,
15,"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik, and the sharing continued for some period of time after their August meeting. ",Manafort,Kilimnik,poll data sharing,,2016,neutral,,,,
,"Fall 2016. On October 7, 2016, the media released video of candidate Trump speaking in graphic terms about women years earlier, which was considered damaging to his candidacy. ",media,Trump,video release,7/10/16,,negative,,,,
,"Less than an hour later, WikiLeaks made its second release:  thousands of John Podesta's emails that had been stolen by the GRU in late March 2016. ",WikiLeaks,John Podesta,email release,7/10/16,,negative,,,,
,"Less than an hour later, WikiLeaks made its second release:  thousands of John Podesta's emails that had been stolen by the GRU in late March 2016. ",GRU,John Podesta,email theft,16-Mar,,negative,WikiLeaks,,7/10/16,
,The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election. ,FBI,U.S. government,Russian interference investigation,,2016,neutral,,,,
,The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election. ,FBI,Russian government,investigation,,2016,neutral,,,,
,The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election. ,U.S. government,Russian government,investigation,,2016,neutral,,,,
,The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election. ,Russian government,U.S. government,election interference,,2016,negative,,,,
,"That same day, October 7, the Department of Homeland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian government directed the  recent compromises of e-mails from US persons and institutions, including from US political organizations.""",Department of Homeland Security,Office of the Director of National Intelligence,joint public statement,7/10/16,,neutral,,,,
,"That same day, October 7, the Department of Homeland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian government directed the  recent compromises of e-mails from US persons and institutions, including from US political organizations.""",Russian government,US persons,email compromise,,2016,negative,"Department of Homeland, the Office of Director of National Intelligence",,7/10/16,
,"That same day, October 7, the Department of Homeland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian government directed the  recent compromises of e-mails from US persons and institutions, including from US political organizations.""",Russian government,institutions,email compromise,,2016,negative,"Department of Homeland, the Office of Director of National Intelligence",,7/10/16,
,"That same day, October 7, the Department of Homeland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian government directed the  recent compromises of e-mails from US persons and institutions, including from US political organizations.""",Russian government,US political organizations,email compromise,,2016,negative,"Department of Homeland, the Office of Director of National Intelligence",,7/10/16,
,"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to  make inroads  into  the  new administration. ",Russian government,Russian businessmen,corporation ,,16-Nov,positive,,,,
,"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to  make inroads  into  the  new administration. ",Russian government,new administration,inroads,,16-Nov,negative,,,,
,"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to  make inroads  into  the  new administration. ",Russian businessmen,new administration,inroads,,16-Nov,negative,,,,
,The Russian embassy made contact hours after the election to congratulate the President-Elect and to arrange a call with President Putin. ,Russian embassy,President-Elect,congratulation,,16-Nov,positive,,,,
,The Russian embassy made contact hours after the election to congratulate the President-Elect and to arrange a call with President Putin. ,Putin,Russian embassy,representative,,,is part of,,,,
,"Dmitriev, the chief executive officer of Russia's sovereign wealth fund, was among the Russians who tried to make contact with the incoming administration. ",Dmitriev,incoming administration,try to contact,,,neutral,,,,
,"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Bannon. ",Dmitriev,Erik Prince,contact,,16-Dec,neutral,,,,
,"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Bannon. ",Erik Prince,Trump Campaign,support,,5-Jul,positive,,,,
,"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Bannon. ",Erik Prince,Bannon,association,,,positive,,,,
,"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Bannon. ",Bannon,Trump,senior advisor,,,positive,,,,
,Dmitriev and Prince later met face-to-face in January 2017 in the Seychelles and discussed U.S.-Russia relations.  ,Dmitriev,Prince,meeting,17-Jan,,neutral,,,,
,"During the same period, another business associate introduced Dmitriev to a friend of Kushner who had not served on the Campaign or the Transition Team. ",Dmitriev,friend of Kushner,contact,17-Jan,,neutral,,,,
,"Dmitriev and Kushner's friend collaborated on a short written reconciliation plan for the United States and Russia, which Dmitriev implied had been cleared through Putin.  ",Dmitriev,Kushner's friend,collaboration,,,neutral,,,,
,"Dmitriev and Kushner's friend collaborated on a short written reconciliation plan for the United States and Russia, which Dmitriev implied had been cleared through Putin.  ",Dmitriev,Putin,association,,,neutral,,,,
,"The friend gave that proposal to Kushner before the inauguration, and Kushner later gave copies to Bannon and incoming Secretary of State Rex Tillerson. ",The friend,Kushner,friendship,,,positive,,,,
